File Name	Onset	Offset
a116_20120405174832257.avi	3119	6052
a116_20120405174847258.avi	2978	6052
a116_20120405174856259.avi	2881	6050
a116_20120405174906260.avi	2722	5982
a116_20120405174915261.avi	2831	5950
a116_20120405174924262.avi	3125	4870
a116_20120405174933263.avi	2658	5801
a116_20120405174948264.avi	2600	6050
a116_20120405175005265.avi	2958	4811
a116_20120405175014266.avi	2467	4077
a116_20120405175038267.avi	2218	5926
a116_20120405175047268.avi	2516	4381
a116_20120405175056269.avi	2428	4018
a116_20120405175104270.avi	2722	5769
a116_20120405175119271.avi	2397	5004
a116_20120405175128272.avi	2575	6050
a116_20120405175144273.avi	2881	4970
a116_20120405175154274.avi	2345	5277
a116_20120405175203275.avi	2658	6050
a116_20120405175219276.avi	3106	4921
a116_20120405175228277.avi	2357	6048
a116_20120405175243278.avi	2569	6020
a116_20120405175253279.avi	2644	4611
a116_20120405175302280.avi	2517	4478
a116_20120405175311281.avi	2357	6050
a116_20120405175320282.avi	2511	6050
a116_20120405175336283.avi	2798	4964
a116_20120405175345284.avi	2587	5820
a116_20120405175354285.avi	2774	6052
a116_20120405175403286.avi	2894	4874
a116_20120405175413287.avi	2434	6050
a116_20120405175422288.avi	2606	5997
a116_20120405175431289.avi	2632	6050
a116_20120405175534290.avi	3169	5188
a116_20120405175543291.avi	2998	4680
a116_20120405175552292.avi	2862	5411
a116_20120405175602293.avi	2523	5552
a116_20120405175618294.avi	2505	4301
a116_20120405175626295.avi	2594	5635
a116_20120405175642296.avi	2562	6050
a116_20120405175651297.avi	2646	3892
a116_20120405175659298.avi	2428	5456
a116_20120405175714299.avi	2377	3948
a116_20120405175722300.avi	2670	5654
a116_20120405175738301.avi	2933	4742
a116_20120405175801302.avi	2287	5839
a116_20120405175816303.avi	2441	6052
a116_20120405175826304.avi	2570	6054
a116_20120405175857305.avi	2991	4486
a116_20120405175906306.avi	2684	6052
a116_20120405175915307.avi	2785	4408
a116_20120405175924308.avi	2473	6036
a116_20120405175953309.avi	2914	4429
a116_20120405180002310.avi	2849	5922
a116_20120405180012311.avi	2754	5649
a116_20120405180027312.avi	2901	4620
a116_20120405180036313.avi	2619	4229
a116_20120405180044314.avi	3028	5277
a116_20120405180054315.avi	2709	6050
a116_20120405180104316.avi	2517	5654
a116_20120405180119317.avi	3048	5298
a116_20120405180128318.avi	2780	4531
a116_20120405180137319.avi	2563	4998
a116_20120405180146320.avi	2523	6050
a116_20120405180156321.avi	2370	5993
a116_20120405180205322.avi	2722	5290
a116_20120405180214323.avi	2421	5993
a116_20120405180224324.avi	3093	5579
a116_20120405180233325.avi	2953	4697
a116_20120405180242326.avi	2582	5272
a116_20120405180251327.avi	3079	4491
a116_20120405180301328.avi	2697	6039
a116_20120405180310329.avi	3156	4715
a116_20120405180319330.avi	3023	5694
a116_20120405180328331.avi	2806	4569
a116_20120405180337332.avi	2831	4339
a116_20120405180346333.avi	2945	4038
a116_20120405180354334.avi	2889	5560
a116_20120405180404335.avi	2658	6050
a116_20120405180413336.avi	2837	5648
a116_20120405180422337.avi	2543	4791
a116_20120405180431338.avi	3060	4370
a116_20120405180440339.avi	2938	4956
a116_20120405180449340.avi	2792	5756
a116_20120405180459341.avi	2480	5982
a116_20120405180508342.avi	0	2849
a116_20120405180517343.avi	3009	4568
a116_20120405180526344.avi	2651	5961
a116_20120405180535345.avi	2728	4408
a116_20120405180544346.avi	2773	4523
a116_20120405180553347.avi	3015	5622
a116_20120405180602348.avi	2825	5713
a116_20120405180611349.avi	2907	5929
a116_20120405180620350.avi	2607	4576
a116_20120405180629351.avi	2369	5786
a116_20120405180638352.avi	2703	5867
a116_20120405180654353.avi	2658	4645
a116_20120405180702354.avi	2690	5948
a116_20120405180712355.avi	2587	4242
a116_20120405180720356.avi	0	0
a116_20120405180729357.avi	0	0
a116_20120405180738358.avi	0	0
a116_20120405180746359.avi	0	0
a116_20120405180756360.avi	0	0
a116_20120405180804361.avi	0	0
a116_20120405180813362.avi	0	0
a116_20120405180822363.avi	0	0
a116_20120405180838364.avi	0	0
a116_20120405180853365.avi	0	0
a116_20120405180909366.avi	0	0
a116_20120405180918367.avi	0	0
a116_20120405180927368.avi	0	0
a116_20120405180936369.avi	0	0
a116_20120405180945370.avi	0	0
a116_20120405180954371.avi	0	0
a116_20120405181015372.avi	0	0
a116_20120405181023373.avi	0	0
a116_20120405181033374.avi	0	0
a116_20120405181048375.avi	0	0
a116_20120405181056376.avi	0	0
a116_20120405181122377.avi	0	0
a116_20120405181131378.avi	0	0
a116_20120405181153379.avi	0	0
a116_20120405181202380.avi	0	0
a116_20120405181210381.avi	0	0
a116_20120405181220382.avi	0	0
a116_20120405181229383.avi	0	0
a116_20120405181237384.avi	0	0
a116_20120405181247385.avi	0	0
a116_20120405181256386.avi	0	0
a116_20120405181316387.avi	0	0
a116_20120405181324388.avi	0	0
a116_20120405181334389.avi	0	0
a116_20120405181343390.avi	0	0
a116_20120405181352391.avi	0	0
a116_20120405181407392.avi	0	0
a116_20120405181416393.avi	0	0
a116_20120405181425394.avi	0	0
a116_20120405181434395.avi	0	0
a116_20120405181443396.avi	0	0
a116_20120405181453397.avi	0	0
a116_20120405181520398.avi	0	0
a116_20120405181529399.avi	0	0
a116_20120405181544400.avi	0	0
a116_20120405181553401.avi	0	0
a116_20120405181602402.avi	0	0
a116_20120405181626403.avi	0	0
a116_20120405181636404.avi	0	0
a116_20120405181644405.avi	0	0
a116_20120405181654406.avi	0	0
a116_20120405181703407.avi	0	0
a116_20120405181712408.avi	0	0
a116_20120405181721409.avi	0	0
a116_20120405181730410.avi	0	0
a116_20120405181739411.avi	0	0
a116_20120405181748412.avi	0	0
a116_20120405181757413.avi	0	0
a116_20120405181807414.avi	0	0
a116_20120405181815415.avi	0	0
a116_20120405181824416.avi	0	0
a116_20120405181833417.avi	0	0
a116_20120405181842418.avi	0	0
a116_20120405181851419.avi	0	0
a116_20120405181900420.avi	0	0
a116_20120405181909421.avi	0	0
a116_20120405181933422.avi	0	0
a116_20120405181943423.avi	0	0
a116_20120405181952424.avi	0	0
a116_20120405182001425.avi	0	0
a116_20120405182010426.avi	0	0
a116_20120405182018427.avi	0	0
a116_20120405182027428.avi	0	0
a116_20120405182037429.avi	0	0
a116_20120405182100430.avi	0	0
a116_20120405182108431.avi	0	0
a116_20120405182117432.avi	0	0
a116_20120405182127433.avi	0	0
a116_20120405182143434.avi	0	0
a116_20120405182152435.avi	0	0
a116_20120405182201436.avi	0	0
a116_20120405182210437.avi	0	0
a116_20120405182236438.avi	0	0
a116_20120405182245439.avi	0	0
a116_20120405182254440.avi	0	0
a116_20120405182303441.avi	0	0
a116_20120405182313442.avi	0	0
a116_20120405182322443.avi	0	0
a116_20120405182331444.avi	0	0
a116_20120405182339445.avi	0	0
a116_20120405182349446.avi	0	0
a116_20120405182404447.avi	0	0
a116_20120405182414448.avi	0	0
a116_20120405182423449.avi	0	0
a116_20120405182432450.avi	0	0
a116_20120405182441451.avi	0	0
a116_20120405182450452.avi	0	0
a116_20120405182500453.avi	0	0
a116_20120405182508454.avi	0	0
a116_20120405182523455.avi	0	0
a116_20120405182533456.avi	0	0
a116_20120405182542457.avi	0	0
a116_20120405182551458.avi	0	0
a116_20120405182600459.avi	0	0
a116_20120405182609460.avi	0	0
a116_20120405182618461.avi	0	0
a116_20120405182627462.avi	0	0
a116_20120405183101463.avi	0	0
a116_20120405183110464.avi	0	0
a116_20120405183119465.avi	0	0
a116_20120405183129466.avi	0	0
a116_20120405183138467.avi	0	0
a116_20120405183147468.avi	0	0
a116_20120405183156469.avi	0	0
a116_20120405183205470.avi	0	0
a116_20120405183214471.avi	0	0
a116_20120405183224472.avi	0	0
a116_20120405183233473.avi	0	0
a116_20120405183242474.avi	0	0
a116_20120405183251475.avi	0	0
